Year_x,Country_x,Song,Artist_x,Songwriter(s),Running Order,Semi Final Points,Total Points,Location,#,Country_y,#.1,Artist_y,Language,Pl.,Sc.,Eurovision_Number,Year_y,Host_Country,Host_City,Lyrics,lyrics
1956,Switzerland,Refrain,Lys Assia,"Géo Voumard
Émile Gardaz",9.0,,0.0,Lugano,9,Switzerland,-,Lys Assia (2),French,1,-,1,1956,Switzerland,Lugano,"[Intro]
(Refrain d'amour)

[Couplet 1]
Refrain, couleur du ciel
Parfum de mes vingt ans
Jardin plein de soleil
Où je courais enfant
Partout je t'ai cherché
Mon amoureux lointain
Guettant par les sentiers
Où tu prenais ma main

[Couplet 2]
Les jours s'en sont allés
Et nous avons grandi
L'amour nous a blessés
Le temps nous a guéris
Mais seule et sans printemps
Je cours en vain les bois, les champs
Dis, souviens-toi
Nos amours d'autrefois?

[Pont]
Les années passent à tire-d'aile
Et sur les toits de mon ennui
Coule la pluie
Où sont parties les caravelles
Volant mon cœur?
Portant mes rêves vers ton oubli?
J'aurais voulu que tu reviennes
Comme jadis
Porter des fleurs à ma persienne
Et ta jeunesse en mon logis

[Couplet 3]
Refrain, couleur de pluie
Regret de mes vingt ans
Chagrin, mélancolie
De n'être plus enfant
Mais seule et loin de toi
Par les chemins où tu n'es pas
Je vais, pleurant
Mes amours de vingt ans","Chorus of love, or or or or
Chorus, color of the sky, fragrance of my twenties
Garden full of sunshine where I ran as a child
Everywhere, I was looking for you, my distant love
By watching the paths where you took my hand The days are gone and we have grown
Love hurt us, time healed us
But only and without spring
I run in vain, in the woods, the fields
Telling me to remember you, our love of another time The years pass, take wings
And on the roofs of my boredom, the rain flows
Where the caravel parties are
Driving my heart, supporting my dreams of your oblivion
I would agree you return like before
Take flowers in my blinds
And your youth in my home Chorus, color of the rain, regrets of my twenties
Grief, melancholy of no longer being a child
But only and far from you, by the paths where you are not
I'm mourning my love of twenty years"
1957,Netherlands,Net als toen,Corry Brokken,"Guus Jansen
Willy van Hemert",6.0,,31.0,Frankfurt,20,Netherlands,2,Corry Brokken (2),Dutch,1,31,2,1957,West Germany,Frankfurt,"Zit niet zo suf
Met die eeuwige krant
Gaap niet van slaap
Of verveling
Ik ben toch je vrouw
En ik eet uit je hand
Maar ik eet niet
Van de bedeling

Kijk me niet aan
Of je denkt: ""Leef je nog?""
Ben ik nog altijd
Die vrouw
Waarmee je destijds
-Wanneer was dat toch?-
Per se dat avontuurtje
Hebben wou?

Wees nog eens lief
Net als toen
Vraag me nog eens
Om een zoen
Breng me weer rozen
Sta weer te blozen
Als je me ziet
Net als toen

Wees nog eens lief
En galant
Vind me weer mooi
En charmant
Dan wordt de wereld weer
Net als vroeger
Een sprookjesland

Ja, je wordt dik
En je haar wordt al grijs
Maar je kunt heus
Nog wel flirten
Ach, je bent soms nog
Zo een kind, zo onwijs
Nurks en baldadig
Om beurten

Weet je nog? Weet je nog?
Zeg nu niet nee
Weet je nog
Dat je toen zei?
Het gelukkigste paar
Dat zijn wij met z'n twee
Mijn liefde, liefste lief
Gaat nooit voorbij

Wees nog eens lief
Net als toen
Vraag me nog eens
Om een zoen
Breng me weer rozen
Sta weer te blozen
Als je me ziet
Net als toen

Wees nog eens lief
En galant
Vind me weer mooi
En charmant
Dan wordt de wereld weer
Net als vroeger
Een sprookjesland","Don’t be so drowsy with that eternal paper
 Don’t yawn from sleep or boredom
 I’m your wife and I eat out of your hand
 But I don’t eat from charity Don’t look at me as if you think, “are you still alive?”
Am I still that woman
 With whom you once – when was it again?
 Wanted to have that little adventure at all costs? Be nice once again, just like then
 Ask me once again for a kiss
 Bring me roses again, blush again
 When you see me, just like then Be nice and gallant once again
 Find me beautiful and charming again
 Then the world will be just like before
 A fairyland Yes, you’re getting fat and your hair is turning grey
 But you still can flirt, believe me
 Ah, sometimes you act like a child, so silly
 Gruff and wanton by turn Do you remember? Do you remember? Don’t say no now
 Do you remember, that you said then?
 The happiest couple, that’s the both of us
 My love, dearest darling, never ends Be nice once again, just like then
 Ask me once again for a kiss
 Bring me roses again, blush again
 When you see me, just like then Be nice and gallant once again
 Find me beautiful and charming again
 Then the world will be just like before
 A fairyland"
1958,France,"Dors, mon amour",André Claveau,"Hubert Giraud
Pierre Delanoë",3.0,,27.0,Hilversum,27,France,3,André Claveau,French,1,27,3,1958,Netherlands,Hilversum,"Dors, mon amour
Le soleil est encore loin du jour
Nous avons pour aimer tout le temps
Et la nuit nous comprend

Dors, mon amour
Protégée par mes bras qui entourent
Ton sommeil d'un rideau de bonheur
Dors au creux de mon cœur

Je suis un roi
Qui tient tout son royaume en ses doigts
Et qui tremble de voir
S'écrouler ce royaume enchanté

Dors, mon amour
Ma princesse enfermée dans sa tour
Avec tous les refrains de la nuit
Ma princesse endormie

Je suis ton âme
Pas à pas sur son chemin de joie
Et je m'amuse
À me pencher sur ton sommeil étoilé

Dors, mon amour
Le soleil est encore loin du jour
Nous avons pour aimer tout le temps
Et la nuit nous comprend

Dors, mon amour
Protégée par mes bras qui entourent
Ton sommeil d'un rideau de bonheur
Dors au creux de mon cœur

J'entends la voix
De ta vie qui bat tout près de moi
Et je sens comme
Un souffle très doux qui caresse ma joue

Dors, mon amour
Ma princesse endormie dans sa tour
J'aperçois le sourire du matin
Voici le soleil de demain
Le grand soleil de l'amour éternel","Sleep, my love
 The sun is still far from the day
 We have all the time to love
 And the night understands us Sleep, my love
 Protected by my arms that surround
 Your sleep with a curtain of happiness
 Sleep onto my heart I’m a king
 That holds his whole kingdom in his fingers
 And that shivers of seeing fall down
 This enchanted kingdom Sleep, my love
 My princess, locked up in her tower
 With all the refrains of the night
 My sleepy princess I’m following your soul step by step on its way of joy
 And I amuse myself by leaning over your starry sleep Sleep, my love
 The sun is still far from the day
 We have all the time to love
 And the night understands us Sleep, my love
 Protected by my arms that surround
 Your sleep with a curtain of happiness
 Sleep onto my heart I hear the voice
 Of your life that beats so close to me
 And I feel like a very gentle blow
 That caresses my cheek Sleep, my love
 My princess, locked up in her tower
 I see the morning smile
 Here’s the sun of tomorrow
 The great sun of the eternal love"
1959,Netherlands,Een beetje,Teddy Scholten,"Dick Schallies
Willy van Hemert",5.0,,21.0,Cannes,39,Netherlands,4,Teddy Scholten,Dutch,1,21,4,1959,France,Cannes,"Ik wou dat je hart een kast was
Met een deurtje
En dat ik kon kijken in
Het interieurtje
Dan moest je oprecht zijn
Goed of slecht, maar echt zijn
En dan zei je al gauw
Als ik vroeg: ""Ben je trouw?""

Een beetje
Verliefd is iedereen wel eens
Dat weet je
Je wilt verstandig zijn
Maar dat vergeet je
Zodra je naar wat Amor fluistert
Luistert

Dan weet je
Dat wordt weer net zoiets als
Faust en Greetje
Met rendez-vous'tjes
In een klein cafeetje
En slenteren in de maneschijn

Met rozengeur
En kussen bij het afscheid
Aan de deur
De nacht is blauw
Je fluistert mond aan mond:
""Ik zweer je eeuwig trouw""

Een beetje
Verliefd was je wel meer, meneer
Dat weet je
Je hart kwam wel eens meer
Op een ideetje
Dat speet je
Maar ach weet je
Soms vergeet je
Wel een beetje
Gauw je eedje
Van trouw

Maar toch ben ik blij dat mijn hart
Ook geen deur heeft
Want je weet nooit wat daar
In het interieur leeft
Wel wil ik beloven
Als we ons verloven
En je vraagt: ""Ben je trouw?""
Zeg ik nooit tegen jou

Met rozengeur
En kussen bij het afscheid
Aan de deur
De nacht is blauw
Je fluistert mond aan mond
Ik zweer je eeuwig trouw

Een beetje
Verliefd was je wel meer, meneer
Dat weet je
Je hart kwam wel eens meer
Op een ideetje
Dat speet je
Maar ach weet je
Soms vergeet je
Wel een beetje
Gauw je eedje
Van trouw","I wanted your heart to be a closet with a little door
And that I could look in the little interior
Then you had to be sincere, good or bad, but true
And then you'd soon say, when I asked: ""Are you faithful?"" A bit, everyone is in love at least once, you know that
You want to be sensible, but you forget that
As soon as you listen to what Amor whispers
Then you know, it will be something like Faust and Gretchen
With little rendezvous in a little café
And strolling in the moonshine With the smell of roses
And kissing goodbye at the door
The night is blue, you whisper mouth to mouth
I swear eternal allegiance to you A bit, you were in love more than once, mister, you know that
Your heart came up with a little idea more than once
You were sorry, but ah you know, sometimes you forget
Maybe a bit too soon, your little oath of loyalty But actually, I'm happy that my heart has no door either
Because you never know what may live there in the interior
I'm willing to promise, when we get engaged
And you ask: ""Are you faithful?"", I'll never say to you... With the smell of roses
And kissing goodbye at the door
The night is blue, you whisper mouth to mouth
I swear eternal allegiance to you A bit, you were in love more than once, mister, you know that
Your heart came up with a little idea more than once
You were sorry, but ah you know, sometimes you forget
Maybe a bit too soon, your little oath of loyalty"
1960,France,Tom Pillibi,Jacqueline Boyer,"André Popp
Pierre Cour",13.0,,32.0,London,58,France,5,Jacqueline Boyer,French,1,32,5,1960,United Kingdom,London,"Tom Pillibi a deux châteaux
Le premier en Écosse
Tom Pillibi a deux châteaux
L'autre au Montenégro

Il a aussi deux grands vaisseaux
Qui vont au bout du monde
Chercher des ors et des coraux
Et les plus beaux joyaux

Il a de la chance
Tom Pillibi
Et moi je pense
Wue je suis son amie
Il est si riche
Que je l'envie
Il est si riche
Sacré Tom Pillibi

Tom Pillibi a deux secrets
Qu'il ne livre à personne
Tom Pillibi a deux secrets
Moi seule, je les connais

La fille du roi lui sourit
Et l'attend dans sa chambre
La fille du roi lui sourit
Et la bergère aussi

Il a de la chance
Tom Pillibi
Et moi je pense
Que je suis son amie
Quelle bonne étoile
Veille sur lui?
Quelle bonne étoile
Sacré Tom Pillibi?

Tom Pillibi n'a qu'un défaut
Le mal n'est pas bien grave
Tom Pillibi n'a qu'un défaut
Le mal n'est pas bien gros

Il est charmant, il a bon cœur
Il est plein de vaillance
Il est charmant, il a bon cœur
Mais il est si menteur

Que rien n'existe
De tout cela
Mais je m'en fiche
Quand je suis dans ses bras
Car je suis reine
Du grand pays
Où il m'entraîne
Sacré Tom Pillibi","Tom Pillibi
Tom Pillibi has two castles – the first one in Scotland
Tom Pillibi has two castles – the other one in Montenegro
He also has two ships which go to the end of the world
To search for gold and corals and the most beautiful jewels
He's lucky – Tom Pillibi
And I think that I'm his girlfriend
He's so rich, that I envy him
He's so rich – blasted Tom Pillibi
Tom Pillibi has two secrets, which he won't tell anyone
Tom Pillibi has two secrets – I'm the only one who knows them
The king's daughter smiles to him and waits for him in her bedroom
The king's daughter smiles to him and the shepherdess too
He's lucky – Tom Pillibi
And I think that I'm his girlfriend
Which good star is looking after him?
Which good star? – Blasted Tom Pillibi
Tom Pillibi has only one fault, but it's nothing serious
Tom Pillibi has only one fault, but it's not such a big thing
He's charming, he's kind-hearted, he has so much courage
He's charming, he's kind-hearted, but he's such a liar
Because nothing exists of all that
But I don't care when I'm in his arms
Because I'm the queen of the big country
Where he takes me to – blasted Tom Pillibi"
1961,Luxembourg,Nous les amoureux,Jean-Claude Pascal,"Jacques Datin
Maurice Vidalin",14.0,,31.0,Cannes,72,Luxembourg,5,Jean-Claude Pascal,French,1,31,6,1961,France,Cannes,"Nous les amoureux
Jean-Claude Pascal
Paroles: Maurice Vidalin
Musique: Jacques Datin
© 1961
Note: Concours Eurovision 1961 - Luxembourg - 1er
Nous les amoureux
On voudrait nous séparer
On voudrait nous empêcher
D'être heureux
Nous les amoureux
Il paraît que c'est l'enfer
Qui nous guette
Ou bien le fer
Et le feu
C'est vrai, les imbéciles et les méchants
Nous font du mal, nous jouent des tours
Pourtant rien n'est plus évident
Que l'amour
Nous les amoureux
Nous ne pouvons rien contre eux
Ils sont mille et l'on est deux
Mais l'heure va sonner
Des nuis moins difficiles
Et je pourrai t'aimer
Sans qu'on en parle en ville
C'est promis
C'est écrit
Nous les amoureux
Le soleil brille pour nous
Et l'on dort sur les genoux
Du bon Dieu
Nous les amoureux
Il nous a donné le droit
Au bonheur et à la joie
D'être deux
Alors, les sans-amour, les mal-aimés
Il faudra bien nous acquitter
Vous qui n'avez jamais été
Condamnés
Nous les amoureux
Nous allons vivre sans vous
Car le ciel est avec nous
Les amoureux","We, the lovers – they want to separate us
They would like to prevent us from being happy
We, the lovers – it seems that it’s hell
That watches us or else the iron and the fire
It’s true, the idiots and the evil ones
Harm us, do bad things to us
However nothing is more obvious than love
We, the lovers, we can do nothing against them
They are a thousand and we are two, the lovers But the hour is going to ring on the least difficult nights
And I could love you without them talking about it downtown
It’s promised, it’s written down We, the lovers – the sun shines for us
And we sleep on the knees of the Good Lord
We, the lovers – He gave us the right
To be happy and to be joyful together Then, the without-loves, the mis-loved
It will be necessary that we pay back
Those who have never been condemned
We, the lovers, we’re going to live without you
For the sky is with us, the lovers"
1962,France,Un premier amour,Isabelle Aubret,"Claude-Henri Vic
Roland Valade",9.0,,26.0,Luxembourg,83,France,7,Isabelle Aubret,French,1,26,7,1962,Luxembourg,Luxembourg City,"Un premier amour
Premier amour
Premier amour
Ne s'oublie jamais
S'oublie jamais
S'oublie jamais
Un premier amour
On le cherche toujours
Dans d'autres amours
Toute sa vie
On court après

Il nous a troublés
Et fait rêver
Et fait trembler
Ce premier amour
Premier amour
Premier amour
Mais l'enfant qu'on est
L'enfant qu'on est resté
Frémira toujours
Au souvenir
De cet amour

Et toi
Et toi que j'aimais
Qu'as-tu fait de toi ?
Qu'as-tu fait sans moi ?
Et moi
Moi qui t'ai perdu
Qu'ai-je fait de plus ?
Qu'ai-je fait
De tant de bonheur ?
Savions-nous d'ailleurs

Qu'un premier amour
Premier amour
Premier amour
Ne s'oublie jamais
S'oublie jamais
S'oublie jamais ?
Qu'un premier amour
On le cherche toujours
Dans d'autres amours
Toute sa vie on court après ?

Que tous ces baisers
Qu'on s'est volés
Plus que donnés
Ces gestes innocents
Nous engageaient
Pour si longtemps ?
Non, les enfants d'alors
Que nous étions encore
N'ont pas soupçonné tant
Ils étaient
Émerveillés
Qu'un premier amour
Leur premier amour
Était si fort","A first love, first love, first love
Is never forgotten, never forgotten, never forgotten
A first love, we always look for it
In other loves, we pursue it our whole life It confused us and made us dream and made us tremble
This first love, first love, first love
But the child that we are, the child that we remained
Will always hum in memory of this love And you, you that I loved
What did you make of yourself?
What did you do without me?
And me, me who lost you
What have I done more?
Was I so much more lucky?
Did we actually know..... A first love, first love, first love
Is never forgotten, never forgotten, never forgotten
A first love, we always look for it
In other loves, we pursue it our whole life That all these kisses that we have stolen rather than given
These innocent gestures engaged us for so long
No, the children we still were back then
Didn't suspect much, they were delighted
That a first love, their first love was so strong"
1963,Denmark,Dansevise,Grethe and Jørgen Ingmann,"Otto Francker
Sejr Volmer-Sørensen",8.0,,42.0,London,98,Denmark,7,Grethe & Jørgen Ingmann,Danish,1,42,8,1963,United Kingdom,London,"[Vers]
Et solstrejf i en vandpyt
Et lille kindkys af en vind
Og sivet der nynner, at livet begynder
Sit spind i dit sind
Et sølvfløjt fra en trætop
En svag tagfat-lyd af en kat
En rislen i bækken, en hvislen i hækken
Der si'r, at det ikke mer' er nat

[Bro]
Dugvåd ligger engen
Jomfru Daggry går til ro
Dagen står puk-kåd ud af sengen
Og går over solens bro

[Omkvæd]
Og os to? Hvad med os to?
Ja, hvad med os to - dig og mig?
Jeg danser og danser og standser og sanser kun dig
Hvorfor løb du dog din vej?

[Post-omkvæd]
Kom igen, kom igen
Kom igen, du, min elskede ven
Kom igen, kom igen
Hvor du ønsker det, danser vi hen

[Kontraststykke]
Kom, lad os danse
Alt kan der ske
Kom, lad os danse
Lad os danse, lad os le

[Vers]
Et sølvfløjt fra en trætop
En svag tagfat-lyd af en kat
En rislen i bækken, en hvislen i hækken
Der si'r, at det ikke mer' er nat

[Bro]
Dugvåd ligger engen
Jomfru Daggry går til ro
Dagen står Puk-kåd ud af sengen
Og går over solens bro

[Omkvæd]
Og os to? Hvad med os to?
Ja, hvad med os to - dig og mig?
Jeg danser og danser og standser og sanser kun dig
Hvorfor løb du dog din vej?

[Post-omkvæd]
Kom igen, kom igen

[Outro]
Elskede ven","A ray of sunshine in a puddle
A little kiss on the cheek from a wind
And the rush, humming
That life's beginning
It's a web in your mind A whistle of silver from a treetop
A faint sound of a cat grabbing
A ripple in the stream
A whisper in the hedge
That says, that it isn't night anymore The meadow is wet with dew
Lady Dawn goes to bed
Day gets up playfully
And crossing the bridge of the sun And the two of us?
What about the two of us?
Yes, what about the two of us, you and me?
I'm dancing and dancing and stopping
And sensing only you
Why ever did you run away? Come back, come back
Come back, you my beloved friend
Come back, come back
Wherever you wish, are we dancing to Come, let us dance
Everything can happen
Come, let us dance
Let us dance, let us laugh A whistle of silver from a treetop
A faint sound of a cat grabbing
A ripple in the stream
A whisper in the hedge
That says, that it isn't night anymore The meadow is wet with dew
Lady Dawn goes to bed
Day gets up playfully
And crossing the bridge of the sun And the two of us?
What about the two of us?
Yes, what about the two of us, you and me?
I'm dancing and dancing and stopping
And sensing only you
Why ever did you run away?
Come back, come back Beloved friend"
1964,Italy,Non ho l'età,Gigliola Cinquetti,"Nicola Salerno
Mario Panzeri",12.0,,49.0,Copenhagen,118,Italy,9,Gigliola Cinquetti,Italian,1,49,9,1964,Denmark,Copenhagen,"Non ho l'età
Non ho l'età per amarti
Non ho l'età per uscire sola con te

E non avrei
Non avrei
Nulla da dirti
Perché, tu sai
Molte più cose di me

Lascia che io viva
Un amore romantico
Nell' attesa
Che venga quel giorno
Ma ora no

Non ho l'età
Non ho l'età per amarti
Non ho l'età per uscire sola con te

Se tu vorrai
Se tu vorrai
Aspettarmi
Quel giorno avrai
Tutto il mio amore per te

Lascia che io viva
Un amore romantico
Nell' attesa
Che venga quel giorno
Ma ora no

Non ho l'età
Non ho l'età per amarti
Non ho l'età per uscire sola con te

Se tu vorrai
Se tu vorrai
Aspettarmi
Quel giorno avrai
Tutto il mio amore per te","I am young,
I am young to love you.
I am young to go out only with you. And it would be not necessary
It would be not necessary
To tell you anything
Because you know too much about me. Let me live
With a romantic love
In waiting
That that day will come
But not now. I am young,
I am young to love you.
I am young to go out only with you. If you wanted,
If you wanted
To wait for me.
You will have that day,
All my love for you. Let me live
With a romantic love
In waiting
That that day will come
But not now. If you wanted,
If you wanted
To wait for me.
You will have that day,
All my love for you."
1965,Luxembourg,"Poupée de cire, poupée de son",France Gall,Serge Gainsbourg,15.0,,32.0,Naples,137,Luxembourg,9,France Gall,French,1,32,10,1965,Italy,Naples,"[Couplet 1]
Je suis une poupée de cire, une poupée de son
Mon cœur est gravé dans mes chansons
Poupée de cire, poupée de son
Suis-je meilleure, suis-je pire qu'une poupée de salon
Je vois la vie en rose bonbon
Poupée de cire, poupée de son

[Refrain]
Mes disques sont un miroir
Dans lequel chacun peut me voir
Je suis partout à la fois
Brisée en mille éclats de voix

[Couplet 2]
Autour de moi j'entends rire les poupées de chiffon
Celles qui dansent sur mes chansons
Poupée de cire, poupée de son
Elles se laissent séduire pour un oui, pour un non
L'amour n'est pas que dans les chansons
Poupée de cire, poupée de son

[Refrain]
Mes disques sont un miroir
Dans lequel chacun peut me voir
Je suis partout à la fois
Brisée en mille éclats de voix

[Couplet 3]
Seule parfois je soupire
Je me dis à quoi bon
Chanter ainsi l'amour sans raison
Sans rien connaître des garçons
Je n'suis qu'une poupée de cire, qu'une poupée de son
Sous le soleil de mes cheveux blonds
Poupée de cire, poupée de son

[Refrain]
Mais un jour je vivrai mes chansons
Poupée de cire, poupée de son
Sans craindre la chaleur des garçons
Poupée de cire, poupée de son","I'm a wax doll
A sound doll
My heart is engraved in my songs
Wax doll, sound doll Am I better, am I worse
Than a fashion doll ?
It's like I see life through bright rosy-tinted glasses
Wax doll, sound doll My records are a mirror
In which everyone can see me
I'm everywhere in the same time
Broken in a thousand pieces of voice Around me I can hear
Rag dolls laughing
Those who dance to my songs
Wax doll, sound doll They let themselves be seduced
For any old reason
Love isn't only in songs
Wax doll, sound doll My records are a mirror
In which everyone can see me
I'm everywhere in the same time
Broken in a thousand pieces of voice Alone, I sometimes sigh
Thinking, what's the point
Of singing love like this, without reason
Without knowing anything about boys? I'm only a wax doll
Only a sound doll
Under my sunny blond hair
Wax doll, sound doll But one day I'll be living my songs
Wax doll, sound doll
Without fearing boys' warmth
Wax doll, sound doll"
