Year,Country,Song,Artist,Songwriter(s),Running Order,Semi Final Points,Total Points,Location
1956,Switzerland,Refrain,Lys Assia,"Géo Voumard
Émile Gardaz",9.0,,0.0,Lugano
1957,Netherlands,Net als toen,Corry Brokken,"Guus Jansen
Willy van Hemert",6.0,,31.0,Frankfurt
1958,France,"Dors, mon amour",André Claveau,"Hubert Giraud
Pierre Delanoë",3.0,,27.0,Hilversum
1959,Netherlands,Een beetje,Teddy Scholten,"Dick Schallies
Willy van Hemert",5.0,,21.0,Cannes
1960,France,Tom Pillibi,Jacqueline Boyer,"André Popp
Pierre Cour",13.0,,32.0,London
1961,Luxembourg,Nous les amoureux,Jean-Claude Pascal,"Jacques Datin
Maurice Vidalin",14.0,,31.0,Cannes
1962,France,Un premier amour,Isabelle Aubret,"Claude-Henri Vic
Roland Valade",9.0,,26.0,Luxembourg
1963,Denmark,Dansevise,Grethe and Jørgen Ingmann,"Otto Francker
Sejr Volmer-Sørensen",8.0,,42.0,London
1964,Italy,Non ho l'età,Gigliola Cinquetti,"Nicola Salerno
Mario Panzeri",12.0,,49.0,Copenhagen
1965,Luxembourg,"Poupée de cire, poupée de son",France Gall,Serge Gainsbourg,15.0,,32.0,Naples
1966,Austria,"Merci, Chérie",Udo Jürgens,"Udo Jürgens
Thomas Hörbiger",9.0,,31.0,Luxembourg
1967,United Kingdom,Puppet on a String,Sandie Shaw,"Bill Martin
Phil Coulter",11.0,,47.0,Vienna
1968,Spain,"La, la, la",Massiel,"Manuel de la Calva
Ramón Arcusa (Dúo Dinámico)",15.0,,29.0,London
1969,Spain,Vivo cantando,Salomé,"María José de Cerato
Aniano Alcalde",3.0,,18.0,Madrid
1969,United Kingdom,Boom Bang-a-Bang,Lulu,"Alan Moorhouse
Peter Warne",7.0,,18.0,
1969,Netherlands,De troubadour,Lenny Kuhr,"David Hartsema
Lenny Kuhr",8.0,,18.0,
1969,France,"Un jour, un enfant",Frida Boccara,"Émile Stern
Eddy Marnay",14.0,,18.0,
1970,Ireland,All Kinds of Everything,Dana,"Derry Lindsay
Jackie Smith",12.0,,32.0,Amsterdam
1971,Monaco,"Un banc, un arbre, une rue",Séverine,"Jean-Pierre Bourtayre
Yves Dessca",3.0,,128.0,Dublin
1972,Luxembourg,Après toi,Vicky Leandros,"Leo Leandros
Klaus Munro
Yves Dessca",17.0,,128.0,Edinburgh
1973,Luxembourg,Tu te reconnaîtras,Anne-Marie David,"Claude Morgan
Vline Buggy",11.0,,129.0,Luxembourg
1974,Sweden,Waterloo,ABBA,"Benny Andersson
Björn Ulvaeus
Stig Anderson",8.0,,24.0,Brighton
1975,Netherlands,Ding-a-dong,Teach-In,"Dick Bakker
Will Luikinga
Eddy Ouwens",1.0,,152.0,Stockholm
1976,United Kingdom,Save Your Kisses for Me,Brotherhood of Man,"Tony Hiller
Lee Sheriden
Martin Lee",1.0,,164.0,The Hauge
1977,France,L'oiseau et l'enfant,Marie Myriam,"Jean-Paul Cara
Joe Gracy",18.0,,135.0,London
1978,Israel,A-Ba-Ni-Bi (א-ב-ני-בי),Izhar Cohen and the Alphabeta,"Nurit Hirsh
Ehud Manor",18.0,,157.0,Paris
1979,Israel,Hallelujah (הללויה),Milk and Honey,"Kobi Oshrat
Shimrit Orr",10.0,,125.0,Jerusalem
1980,Ireland,What's Another Year,Johnny Logan,Shay Healy,17.0,,143.0,The Hauge
1981,United Kingdom,Making Your Mind Up,Bucks Fizz,"Andy Hill
John Danter",14.0,,136.0,Dublin
1982,Germany,Ein bißchen Frieden,Nicole,"Ralph Siegel
Bernd Meinunger",18.0,,161.0,Harrogate
1983,Luxembourg,Si la vie est cadeau,Corinne Hermès,"Jean-Pierre Millers
Alain Garcia",20.0,,142.0,Munich
1984,Sweden,Diggi-Loo Diggi-Ley,Herreys,"Torgny Söderberg
Britt Lindeborg",1.0,,145.0,Luxembourg
1985,Norway,La det swinge,Bobbysocks!,Rolf Løvland,13.0,,123.0,Gothenburg
1986,Belgium,J'aime la vie,Sandra Kim,"Jean-Paul Furnémont
Angelo Crisci
Rosario Marino Atria",13.0,,176.0,Bergen
1987,Ireland,Hold Me Now,Johnny Logan,Johnny Logan,20.0,,172.0,Brussels
1988,Switzerland,Ne partez pas sans moi,Céline Dion,"Nella Martinetti
Atilla Şereftuğ",9.0,,137.0,Dublin
