Song,English Lyrics
De vogels van Holland,"The birds of Holland are so musical
They already learn to twitter in their early youth
The blackbird, the thrush and the nightingale
So they can celebrate spring in Holland It's no wonder, because nowhere the puddles are so blue
As in Holland, sir
As in Holland, madam
It's no wonder, because nowhere the grass is so full of dew Are the girls so sweet, are the girls so faithfull
And that's why all the birds here are
So musical, So musical, So musical Across the whole world I've heard birds sing
To the south, to the west, to the north
In many faraway countries I've heard birds sing
They sing little songs without words The French birds sing toodledoo
Japanese birds sing toodledoo
Chinese birds sing toodledoo
But nowhere the birds sing so happily and cheerfully
As in Holland in spring in the meadow The birds of Holland are so musical
They already learn to twitter in their early youth
The blackbird, the thrush and the nightingale
So they can celebrate the spring in Holland It's no wonder, because nowhere the puddles are so blue
 As in Holland, sir
 As in Holland, madam
It's no wonder, because nowhere the grass is so full of dew Are the girls so sweet, are the girls so faithfull
And that's why all the birds here are
So musical, So musical, So musical"
Das alte Karussell,"The old carousel
It doesn't go as fast anymore
The ponies and the wagones
They don't want to get going flattering doesn't help either
And neither does putting up new boards
there is only one thing that does help:
Once in a while it has to be greased And also the old organ
It squeaks like a mouse
And sometimes it can't take it anymore
Then it just turns off The old carousel
It doesn't go as fast anymore
The phonies and the wagons
They don't want to get going The small ones and the large ones
They pull and push
And that way it goes round in circles The ponies are trotting
And pulling on the wagons
And the organ is getting young again A funny thing
This old carousel
From down to above everything is shifted
But it still goes round in a circiel The old carousel
It doesn't go as fast anymore
The ponies and the wagons
They don't want to get going The old carousel, ooh......
The old carousel"
Messieurs les noyés de la Seine,"Ye drowned men of the river Seine (1)
Open the water gates for me
I'm tired of spending my weeks
On the black paving of Puteaux (2) Ye drowned men of the river Seine
Open the water gates for me
I've been travelling so long under its woollen sky
So the wind has burnt my skin I'm married to misery forever
I've never known better than love on a stone bed
The sun for the rich, the moon for the clochards
Why playing the game, when everyone cheats? Ye drowned men of the river Seine
Open the water gates for me
I'm tired of only having for heaven
The rusty bridges of Puteaux Ye drowned men of the river Seine
I've watched the boats so much
That from Aubervilliers to Bourg-la-Reine (3)(4)
I'm carrying Paris on my back The girl I loved, never loved me
The friends I had, have all left me
I'm travelling around the world to find springtime
But since the earth is round, it might take a long time Ye drowned men of the river Seine
Open the water gates for me
 I'm tired of watching the strange appearance
Of the betrayed children of Puteaux Ye drowned men of the river Seine
Paris owes me a cradle
I'll fall asleep without love and hate
Between its arms of sand and water"
Im Wartesaal zum großen Glück,"There is a harbour
Where hardly any ship leaves from
And when one leaves
It leaves to unknown distance
And when it arrives it comes
From very far away
And someone gets off and he has crossed the sea
With a glassy load from the stars

And on the quay of the past they built
A room with a sea view
And with walls made of dreams
To avoid reality
Because they did not like it a lot

In the waiting room for great happiness
Many, many people are waiting there
They have been waiting since yesterday
For the happiness of tomorrow
Living with wishes for the day after tomorrow
And they forget that it is still today
Oh, these poor, poor people

And the watched the see
And they saw the ship, too
Just while it was leaving
To unknown distance
And on their dreams
They chased it
And they did not see him cross the sea
With a glassy load from the stars

And he passed the quay of the past
And he just went past the ones in the room
He went straightforward into reality
And then they saw him smile

In the waiting room for great happiness
Many, many people are waiting there
They have been waiting since yesterday
For the happiness of tomorrow
Living with wishes for the day after tomorrow
And they forget that it is still today
Well, these poor, poor people

And in the morning
The fishermen went out to sea
And the sky was glowing
Into unknown distance
And there he came
And their nets were empty
But then he fetched the sun out of the sea for them
And he carried it up to the stars

And it was shining far throughuot reality
And the boats were dancing in the light
Only there in the room on the quay of the past
The sun was not seen

In the waiting room for great happiness
Many, many people are waiting there
They have been waiting since yesterday
For the happiness of tomorrow
Living with wishes for the day after tomorrow
And they forget that it is still today
Well, these poor, poor people"
Le temps perdu,"Sing, carillon
The song of lost time
Sing your song to my fiery heart
I cry for the one I love Lull in the evening
My dream and my sobs
Pour in me the hope to meet him soon
Hurry up, because I'm still waiting May come the time of happiness
The time of love, which only can calm down my heart Divert the river
Into the sea that is waiting for you
Cherish in these waters all life of springtime
I will always wait for your return The hours flee slowly in the night
Every hour rings monotonously
And I'm waiting for the day, always imagining
That you will give back your love to me one day Sing, carillon
Sing for my happiness
Sing your song, so softly to my heart
Also sing for the one I love Lull in the evening
Our love embraces
Pour in me the hope to keep him forever
Sing, I forget the lost time Ring, but you don't have to hurry
The hour of love keeps us clasped Divert the river
Into the sea that is waiting for you
Cherish in these waters all life of springtime
I will always wait for your return"
Ne crois pas,"If they told you that you have a good look
There is nothing to boast about
And instead of playing the good look
You should take advantage of it Don't believe that all your life
You will be loved for your nice eyes
Because if your face makes other envious
It's because you're young and nothing better Don't believe, don't believe
That you will be always a handsome boy
Don't believe, don't believe
That your youth will last You will be like everybody
With faded colour
The belly as a globe
And all your teeth unset When you will have your skull quite smooth
Clumsy gesture
And sidelong glance
You'll go to be repaired Don't believe, don't believe
That you will always be a handsome boy
Don't believe, don't believe
That your youth will last You think you're clever
To play the unfathomable
The untouchable
From the start until never in a month of Sundays It's not serious
Hermes, Adonis, Hercules
Who stroll
Without thinking that one day they will get old If they told you that you have a good look
There is nothing to boast about
And instead of playing the good look
You should take advantage of it Don't believe that all your life
You will be loved for your nice eyes
Because if your face makes other envious
It's because you're young and nothing better Don't believe, don't believe
That you will always be a handsome boy
Don't believe, don't believe
That your youth will last Don't believe... don't believe...
Don't believe that your youth will last"
Aprite le finestre,"The first red rose has already blossomed
And sweet-smelling violets shyly come up
The first swallow is back by now
It's starting to whirl in the clear sky
It comes to announce nice weather Open your windows to the newly born sun
It's spring, it's spring
Let a little fresh air in
With the smell of gardens and flowery meadows Open your windows to new dreams
Beautiful little girls in love
It's maybe the most beautiful dream you dream
Tomorrow it will be happiness In the sky, among the silver clouds
The moon has already set a date
Open your windows to the newly born sun
It's spring, the festival of love La la la la la la la la la la la
Open your windows to the newly born sun On the window-sill a small nightingale
With tender wings and soft feathers
Has already shyly flown up
And it's started tapping on the glass
It wants to bring its most beautiful message: It's spring, it's spring Open your windows to new dreams
To hope, to illusion
Let the last song in
It will softly go down into your heart In the sky, among the silver clouds
The moon has already set a date
Open your windows to the new sun
It's spring, the festival of love La la la la la la la la la la la
Open your windows to the first love"
Voorgoed voorbij,"Over for good
Now we'll never be together again
My darling
What have I done to you? Over for good
Your windows are closed
But just like then
I still see violets The whole world smells good
The spring-flower is colouring
Ah, why is there every year a new May?
For me, it's over forever
The spring of my life
That season of mirth
It's all over For you it was just a game
I know very well that
You didn't mean it that way
But me, I did mean it
I felt it very deeply The whole world smells good
The spring-flower is colouring
Ah, why is there every year a new May?
For me, it's over forever
The spring of my life
That season of mirth
It's all over"
Refrain,"Chorus of love, or or or or
Chorus, color of the sky, fragrance of my twenties
Garden full of sunshine where I ran as a child
Everywhere, I was looking for you, my distant love
By watching the paths where you took my hand The days are gone and we have grown
Love hurt us, time healed us
But only and without spring
I run in vain, in the woods, the fields
Telling me to remember you, our love of another time The years pass, take wings
And on the roofs of my boredom, the rain flows
Where the caravel parties are
Driving my heart, supporting my dreams of your oblivion
I would agree you return like before
Take flowers in my blinds
And your youth in my home Chorus, color of the rain, regrets of my twenties
Grief, melancholy of no longer being a child
But only and far from you, by the paths where you are not
I'm mourning my love of twenty years"
Le plus beau jour de ma vie,"The bells are ringing
Everything is heralding
The most beautiful day of my life
I am getting married today
Ding dong
Ding dong If Mum cries
It will soon be time
And Dad is offering me his arm
We are going off with little steps
Ding dong
Ding dong The very small children
Are following me portly
Carrying my dress
Under my white veil
Here is my Charming Prince
He is smiling tenderly
I am approaching him
With my heart beating A short minute
Like in a dream
The two beings of us full of love
Will be united forever
Ding dong
Ding dong What a moving moment
I am feelng all dizzy
Then your hand on my hand
I simply said I do The organ is subdued
Everything is lighting up
The gate is wide open
We are leaving under the clear sky
Ding dong
Ding dong We are admired
And I hear them say
""Look, she is pretty""
How beautifully they are assembled
Ding dong
Ding dong Sweet happiness is grabbing me
While, on my hand
Your eyes are caressing
My ring of fine gold
The room of a moment
I repeat the vow
To live to
Love you faithfully The bells are ringing
Everything is heralding
That I will never forget
The most beautiful day of my life
Ding dong
Ding dong"
